frame,time,source,x,y,confidence,truth_id
0,0.00,radar,0.364,-1.087,0.937,11
0,0.00,radar,50.207,40.116,1.051,12
0,0.00,camera,51.040,40.031,0.811,12
0,0.00,radar,6.092,37.412,1.200,13
0,0.00,lidar,5.758,36.893,0.972,13
0,0.00,radar,24.878,34.246,0.515,-1
1,0.10,radar,1.210,0.946,0.910,11
1,0.10,camera,1.077,0.949,0.910,11
1,0.10,radar,50.395,39.949,0.954,12
1,0.10,lidar,48.954,38.348,0.739,12
1,0.10,radar,5.889,37.392,1.200,13
1,0.10,camera,6.589,39.363,0.792,13
2,0.20,radar,2.254,1.812,0.770,11
2,0.20,camera,1.534,0.777,0.752,11
2,0.20,lidar,48.466,39.556,1.080,12
2,0.20,radar,6.735,38.813,0.833,13
2,0.20,camera,6.870,37.044,0.983,13
2,0.20,radar,25.049,7.786,0.362,-1
3,0.30,radar,2.759,1.199,1.012,11
3,0.30,lidar,4.484,1.998,0.820,11
3,0.30,radar,47.343,36.830,0.986,12
3,0.30,camera,47.420,37.574,0.792,12
3,0.30,radar,7.903,37.027,0.880,13
3,0.30,camera,8.151,37.609,1.153,13
4,0.40,lidar,5.010,3.033,0.693,11
4,0.40,camera,6.751,2.997,0.722,11
4,0.40,radar,45.554,36.030,0.982,12
4,0.40,radar,9.669,36.206,0.772,13
4,0.40,camera,8.079,34.805,0.953,13
4,0.40,lidar,81.000,15.022,0.530,-1
5,0.50,radar,6.697,3.413,0.991,11
5,0.50,camera,7.234,2.802,0.778,11
5,0.50,radar,43.211,34.866,0.847,12
5,0.50,camera,44.004,35.060,0.667,12
5,0.50,lidar,10.595,34.691,0.884,13
5,0.50,camera,8.795,35.714,0.698,13
6,0.60,radar,7.697,3.936,0.778,11
6,0.60,camera,4.074,4.910,0.996,11
6,0.60,radar,43.838,34.897,0.671,12
6,0.60,lidar,44.408,35.553,0.666,12
6,0.60,radar,10.607,33.539,0.777,13
6,0.60,camera,9.020,35.931,0.895,13
6,0.60,radar,62.761,27.900,0.555,-1
7,0.70,radar,9.427,5.490,0.979,11
7,0.70,lidar,41.671,32.753,0.899,12
7,0.70,camera,41.895,31.410,1.024,12
7,0.70,radar,13.979,33.823,0.880,13
7,0.70,camera,12.450,35.864,0.940,13
7,0.70,radar,71.314,-4.842,0.566,-1
8,0.80,lidar,9.682,5.527,1.153,11
8,0.80,camera,9.755,6.551,0.717,11
8,0.80,radar,41.203,34.139,0.819,12
8,0.80,camera,38.152,30.743,0.875,12
8,0.80,radar,12.574,34.197,0.891,13
8,0.80,lidar,14.102,35.305,0.981,13
8,0.80,camera,75.295,-10.906,0.631,-1
9,0.90,radar,11.093,6.690,1.033,11
9,0.90,camera,38.591,31.355,0.774,12
9,0.90,radar,14.332,33.138,0.968,13
10,1.00,lidar,11.472,8.931,1.170,11
10,1.00,camera,12.169,6.317,1.016,11
10,1.00,radar,37.979,31.319,1.124,12
10,1.00,camera,39.140,29.740,0.963,12
10,1.00,radar,14.294,32.296,1.015,13
10,1.00,lidar,16.131,32.516,0.936,13
10,1.00,radar,6.236,7.368,0.578,-1
11,1.10,radar,13.783,8.460,1.079,11
11,1.10,camera,14.701,8.899,0.898,11
11,1.10,radar,38.785,30.263,0.955,12
11,1.10,lidar,39.750,30.007,0.965,12
11,1.10,radar,16.502,31.805,1.016,13
11,1.10,camera,16.682,31.994,0.791,13
12,1.20,radar,13.635,10.077,0.899,11
12,1.20,camera,14.246,9.882,0.823,11
12,1.20,lidar,37.727,27.962,1.200,12
12,1.20,camera,36.234,29.914,0.790,12
12,1.20,radar,17.019,30.758,0.889,13
12,1.20,camera,20.502,32.788,0.727,13
12,1.20,radar,29.698,-7.485,0.319,-1
13,1.30,lidar,16.054,9.153,0.982,11
13,1.30,radar,35.152,28.010,1.058,12
13,1.30,camera,36.864,28.546,0.815,12
13,1.30,camera,17.528,29.761,0.725,13
13,1.30,radar,81.608,31.000,0.448,-1
14,1.40,lidar,15.268,11.354,0.800,11
14,1.40,camera,16.280,12.210,0.797,11
14,1.40,radar,35.572,27.565,0.934,12
14,1.40,camera,34.986,27.636,0.908,12
14,1.40,radar,18.043,29.504,0.957,13
14,1.40,lidar,17.195,28.216,0.985,13
14,1.40,radar,-1.858,17.973,0.658,-1
15,1.50,radar,17.741,12.002,0.957,11
15,1.50,camera,20.368,11.738,0.862,11
15,1.50,radar,33.749,26.255,1.104,12
15,1.50,lidar,33.259,23.932,0.718,12
15,1.50,radar,21.364,30.028,1.110,13
15,1.50,camera,18.815,28.563,0.728,13
16,1.60,radar,17.579,12.997,0.958,11
16,1.60,camera,18.808,11.313,0.770,11
16,1.60,lidar,32.695,27.165,0.890,12
16,1.60,camera,31.165,27.972,0.831,12
16,1.60,radar,20.488,28.797,0.937,13
16,1.60,camera,22.048,30.105,0.644,13
16,1.60,camera,68.312,24.777,0.417,-1
17,1.70,lidar,20.800,14.750,0.920,11
17,1.70,camera,19.510,14.826,1.074,11
17,1.70,radar,30.937,24.315,1.068,12
17,1.70,camera,30.306,25.969,0.645,12
17,1.70,radar,21.020,27.785,0.957,13
17,1.70,lidar,20.743,28.479,0.951,13
17,1.70,radar,71.375,45.624,0.529,-1
18,1.80,radar,19.920,15.362,0.775,11
18,1.80,camera,22.320,13.796,0.981,11
18,1.80,radar,30.918,24.128,1.140,12
18,1.80,lidar,30.201,25.216,0.791,12
18,1.80,radar,22.236,27.321,1.150,13
18,1.80,camera,22.934,27.299,0.922,13
18,1.80,camera,78.359,21.450,0.491,-1
19,1.90,radar,21.360,15.315,1.023,11
19,1.90,lidar,22.684,14.305,0.738,11
19,1.90,radar,28.630,22.963,0.979,12
19,1.90,camera,28.584,23.191,0.708,12
19,1.90,radar,23.352,25.965,0.887,13
19,1.90,camera,24.329,26.785,1.090,13
19,1.90,lidar,16.010,39.463,0.470,-1
20,2.00,radar,24.103,16.080,0.729,11
20,2.00,camera,23.842,16.226,0.873,11
20,2.00,radar,28.331,23.069,0.998,12
20,2.00,camera,25.623,22.611,0.887,12
20,2.00,lidar,24.891,25.631,0.986,13
20,2.00,camera,24.983,27.371,0.659,13
21,2.10,radar,23.852,16.453,0.973,11
21,2.10,camera,25.828,16.679,0.940,11
21,2.10,radar,26.898,22.440,0.801,12
21,2.10,lidar,28.949,21.583,0.807,12
21,2.10,radar,24.932,25.940,0.973,13
21,2.10,camera,27.584,24.725,0.802,13
22,2.20,radar,27.621,17.244,1.033,11
22,2.20,camera,25.586,17.598,0.855,11
22,2.20,lidar,26.094,21.568,0.965,12
22,2.20,camera,28.457,20.686,0.901,12
22,2.20,radar,28.883,25.062,0.908,13
22,2.20,camera,29.123,26.173,0.942,13
22,2.20,camera,22.457,1.472,0.346,-1
23,2.30,lidar,26.508,17.677,1.120,11
23,2.30,camera,25.249,19.014,0.787,11
23,2.30,radar,25.070,19.224,0.977,12
23,2.30,camera,23.977,21.302,0.846,12
23,2.30,radar,28.434,23.653,0.958,13
23,2.30,lidar,27.083,22.692,0.987,13
24,2.40,radar,28.186,19.185,0.631,11
24,2.40,camera,28.591,20.110,0.859,11
24,2.40,radar,24.593,19.112,1.143,12
24,2.40,camera,24.419,19.558,0.716,12
24,2.40,lidar,29.388,22.175,1.024,13
24,2.40,camera,29.163,24.691,0.969,13
24,2.40,radar,3.657,-2.471,0.608,-1
25,2.50,radar,30.057,20.027,0.996,11
25,2.50,radar,22.060,17.438,0.995,12
25,2.50,lidar,23.807,18.149,0.703,12
25,2.50,radar,31.237,23.406,0.789,13
26,2.60,radar,32.098,21.593,0.749,11
26,2.60,camera,33.454,20.954,0.609,11
26,2.60,radar,21.488,17.291,1.158,12
26,2.60,lidar,22.148,17.427,0.840,12
26,2.60,radar,31.000,21.363,0.998,13
27,2.70,radar,32.717,20.993,0.922,11
27,2.70,camera,31.554,23.771,0.941,11
27,2.70,radar,19.190,15.651,0.804,12
27,2.70,lidar,31.851,21.741,1.025,13
27,2.70,radar,-7.855,49.762,0.595,-1
28,2.80,radar,34.044,21.529,0.864,11
28,2.80,camera,33.632,22.031,0.893,11
28,2.80,radar,19.271,15.605,0.776,12
28,2.80,lidar,32.339,21.791,0.850,13
28,2.80,camera,33.270,22.842,0.733,13
29,2.90,camera,35.261,22.608,0.698,11
29,2.90,radar,20.019,14.299,1.058,12
29,2.90,camera,18.285,14.741,0.688,12
29,2.90,lidar,32.234,19.692,0.898,13
29,2.90,camera,35.034,20.151,0.910,13
30,3.00,radar,36.661,23.062,1.008,11
30,3.00,camera,36.238,23.588,0.922,11
30,3.00,radar,16.978,13.926,0.618,12
30,3.00,lidar,19.145,15.869,0.947,12
30,3.00,radar,36.924,20.220,0.755,13
30,3.00,camera,33.328,18.439,0.693,13
30,3.00,radar,14.908,21.521,0.473,-1
31,3.10,radar,37.240,25.384,0.914,11
31,3.10,lidar,36.604,25.991,0.811,11
31,3.10,radar,14.784,12.227,0.987,12
31,3.10,radar,36.696,18.838,1.005,13
31,3.10,camera,37.193,19.932,0.938,13
31,3.10,camera,9.969,34.645,0.484,-1
32,3.20,lidar,37.672,24.837,0.862,11
32,3.20,camera,38.288,26.478,0.732,11
32,3.20,radar,14.589,11.864,0.958,12
32,3.20,camera,15.101,12.519,0.752,12
32,3.20,radar,37.042,18.208,1.148,13
32,3.20,lidar,33.849,-10.559,0.455,-1
33,3.30,radar,39.765,25.937,0.997,11
33,3.30,camera,42.200,26.883,0.940,11
33,3.30,radar,13.049,9.232,1.081,12
33,3.30,camera,12.249,10.272,0.653,12
33,3.30,lidar,36.612,18.203,0.881,13
34,3.40,camera,38.292,26.012,0.778,11
34,3.40,radar,12.051,8.956,1.001,12
34,3.40,camera,10.266,8.622,0.940,12
