frame,time,source,x,y,confidence,truth_id
0,0.00,radar,5.677,6.143,1.084,1
0,0.00,camera,5.599,6.423,0.901,1
0,0.00,camera,40.434,10.454,0.650,2
0,0.00,radar,20.684,35.388,1.116,3
0,0.00,camera,19.021,34.685,0.887,3
1,0.10,radar,5.999,5.896,0.997,1
1,0.10,camera,6.316,5.013,0.701,1
1,0.10,radar,38.858,10.274,0.937,2
1,0.10,radar,20.079,33.882,0.888,3
1,0.10,camera,21.780,34.046,1.053,3
2,0.20,radar,6.200,5.654,1.087,1
2,0.20,camera,5.815,6.641,0.843,1
2,0.20,radar,38.856,10.387,0.916,2
2,0.20,camera,38.857,10.977,0.694,2
2,0.20,radar,20.393,35.227,0.819,3
2,0.20,camera,20.064,35.509,0.606,3
2,0.20,radar,-3.933,34.104,0.559,-1
3,0.30,radar,8.392,5.948,0.816,1
3,0.30,radar,39.035,11.338,1.002,2
3,0.30,radar,21.724,33.968,0.762,3
3,0.30,camera,78.338,42.350,0.646,-1
4,0.40,radar,10.164,6.328,1.007,1
4,0.40,camera,9.746,6.812,0.889,1
4,0.40,radar,38.190,10.372,0.965,2
4,0.40,camera,38.816,11.463,0.744,2
4,0.40,radar,22.498,32.613,0.816,3
4,0.40,camera,21.577,32.637,1.019,3
5,0.50,radar,9.348,6.785,1.026,1
5,0.50,radar,37.363,11.839,0.968,2
5,0.50,camera,37.720,11.748,0.851,2
5,0.50,radar,22.782,32.849,1.191,3
5,0.50,camera,22.528,32.895,0.924,3
5,0.50,camera,37.415,-6.925,0.495,-1
6,0.60,radar,10.511,7.935,1.073,1
6,0.60,camera,12.638,6.177,0.875,1
6,0.60,radar,37.050,13.909,0.831,2
6,0.60,camera,37.788,12.062,0.749,2
6,0.60,radar,23.896,32.661,0.689,3
6,0.60,camera,22.319,32.058,0.998,3
6,0.60,radar,51.323,40.188,0.603,-1
7,0.70,radar,12.277,9.091,0.976,1
7,0.70,camera,11.530,7.888,0.490,1
7,0.70,radar,35.401,12.393,0.863,2
7,0.70,camera,35.298,12.131,0.740,2
7,0.70,radar,23.342,31.430,0.843,3
7,0.70,camera,23.203,32.753,0.835,3
7,0.70,camera,69.964,-9.066,0.564,-1
8,0.80,radar,13.514,7.410,0.875,1
8,0.80,camera,13.341,7.735,1.037,1
8,0.80,radar,34.689,13.081,1.132,2
8,0.80,camera,34.752,13.028,0.899,2
8,0.80,radar,23.589,30.251,1.106,3
8,0.80,camera,20.700,29.854,0.972,3
8,0.80,radar,69.936,35.846,0.341,-1
9,0.90,radar,15.770,10.947,1.033,1
9,0.90,radar,36.276,11.514,0.949,2
9,0.90,camera,32.740,12.299,1.033,2
