frame,time,source,x,y,confidence,truth_id
0,0.00,radar,10.535,10.137,1.028,21
0,0.00,camera,10.024,10.412,0.794,21
0,0.00,radar,14.372,14.053,0.899,22
0,0.00,camera,15.293,13.655,0.636,22
0,0.00,radar,18.531,18.583,1.044,23
0,0.00,camera,16.015,20.118,0.927,23
0,0.00,radar,75.839,32.271,0.677,-1
1,0.10,radar,12.841,8.009,1.083,21
1,0.10,camera,9.862,11.013,0.991,21
1,0.10,radar,16.928,15.560,1.077,22
1,0.10,camera,16.007,13.984,0.837,22
1,0.10,camera,18.401,17.580,0.655,23
1,0.10,radar,56.275,-7.373,0.525,-1
1,0.10,camera,9.282,35.310,0.335,-1
2,0.20,radar,12.217,9.675,0.807,21
2,0.20,camera,13.557,9.339,0.728,21
2,0.20,radar,17.422,14.149,0.806,22
2,0.20,camera,18.429,14.541,0.834,22
2,0.20,radar,16.581,19.094,0.738,23
2,0.20,camera,81.269,36.384,0.585,-1
2,0.20,radar,50.853,15.149,0.603,-1
3,0.30,radar,13.847,10.479,0.798,21
3,0.30,camera,14.152,10.044,0.870,21
3,0.30,radar,18.872,15.497,0.870,22
3,0.30,camera,18.435,14.222,0.865,22
3,0.30,radar,19.850,19.065,0.838,23
3,0.30,camera,22.654,18.045,0.952,23
3,0.30,radar,31.724,37.075,0.699,-1
4,0.40,radar,13.927,10.869,1.094,21
4,0.40,camera,14.895,10.320,0.774,21
4,0.40,radar,19.717,15.115,0.807,22
4,0.40,camera,18.587,13.851,0.742,22
4,0.40,radar,20.644,17.835,0.955,23
4,0.40,camera,22.656,17.099,0.883,23
4,0.40,camera,14.969,-10.843,0.443,-1
5,0.50,radar,15.121,11.032,1.049,21
5,0.50,camera,14.258,9.245,0.857,21
5,0.50,radar,20.487,12.840,1.045,22
5,0.50,camera,19.196,16.782,0.947,22
5,0.50,radar,23.817,18.790,0.811,23
5,0.50,camera,23.808,19.812,0.741,23
6,0.60,radar,15.104,10.771,1.060,21
6,0.60,camera,16.450,11.287,0.911,21
6,0.60,radar,22.040,15.223,1.019,22
6,0.60,camera,20.429,15.192,0.866,22
6,0.60,radar,24.065,18.421,0.900,23
6,0.60,camera,25.420,18.245,0.958,23
6,0.60,radar,68.388,7.527,0.444,-1
6,0.60,camera,52.774,50.467,0.561,-1
7,0.70,radar,17.123,11.098,1.016,21
7,0.70,radar,22.188,14.198,1.017,22
7,0.70,camera,23.272,15.364,0.818,22
7,0.70,radar,25.647,17.297,0.914,23
7,0.70,camera,25.632,18.000,0.954,23
7,0.70,camera,73.782,2.748,0.323,-1
